topic,term,cosine,df
Colonialism,kolonie,1,150
Colonialism,koloniaal,1,91
Colonialism,voc,1,202
Colonialism,wic,1,129
Colonialism,koloniale,0.9781,446
Colonialism,voc-,0.9637,19
Colonialism,koloniën,0.8776,273
Colonialism,postkoloniale,0.8665,18
Colonialism,kolonien,0.8633,30
Colonialism,kolonisten,0.8612,34
Colonialism,postkoloniaal,0.8558,9
Colonialism,kaapkolonie,0.8093,15
Colonialism,kolonisatie,0.794,22
Colonialism,belasting,0.7629,16
Colonialism,slavenkolonie,0.7626,5
Colonialism,voc-imperium,0.7619,6
Colonialism,voc-dienaren,0.7582,15
Colonialism,voc-gebied,0.7521,5
Colonialism,kolonia,0.7501,9
Colonialism,kolonialisme,0.7395,162
Colonialism,kolonisatoren,0.7183,5
Colonialism,landbouwkolonie,0.7154,10
Colonialism,kolonisator,0.7128,12
Colonialism,voc-schip,0.7046,9
Colonialism,gekoloniseerden,0.7042,7
Colonialism,slavenkoloniën,0.6993,6
Colonialism,voc-schepen,0.6993,6
Colonialism,belastingdienst,0.6963,9
Colonialism,plantagekolonie,0.6802,9
Colonialism,grond,0.6724,80
Colonialism,ketenen,0.6674,15
Colonialism,uitbuiting,0.6653,22
Colonialism,belastingen,0.6392,9
Colonialism,antikoloniale,0.6385,6
Colonialism,keten,0.6367,12
Colonialism,gekoloniseerde,0.6337,30
Colonialism,provinciale,0.6334,32
Colonialism,landbouw,0.6322,22
Colonialism,stof,0.6104,12
Colonialism,gronden,0.6085,22
Colonialism,coronie,0.599,6
Colonialism,kolo-,0.5973,7
Colonialism,provinciaal,0.5951,6
Colonialism,grondslagen,0.5929,8
Colonialism,kol,0.5877,5
Colonialism,materiaal,0.5869,16
Colonialism,dekolonisatie,0.5848,17
Colonialism,nations,0.5772,12
Colonialism,koloni,0.5758,5
Colonialism,belast,0.5719,12
Colonialism,mondelinge,0.5672,6
Colonialism,natie,0.5648,25
Colonialism,meerderheid,0.5629,43
Colonialism,historic,0.5571,7
Colonialism,creoolse,0.557,10
Colonialism,plantagekoloniën,0.5566,7
Colonialism,westerse,0.5565,19
Colonialism,inheemse,0.5564,31
Colonialism,kolo,0.5555,17
Colonialism,nation,0.5539,12
Colonialism,volendam,0.5524,6
Historical slavery,slavernij,1,690
Historical slavery,plantage,1,97
Historical slavery,dwangarbeid,1,34
Historical slavery,zweep,1,6
Historical slavery,slavernij-,0.9593,15
Historical slavery,plantage-,0.9565,13
Historical slavery,plantages,0.9373,139
Historical slavery,slavernijgerelateerde,0.9017,6
Historical slavery,plantation,0.8606,7
Historical slavery,plantagesector,0.8531,7
Historical slavery,slavernijverleden,0.8413,250
Historical slavery,plantagehouder,0.8396,8
Historical slavery,plantagehouders,0.8344,14
Historical slavery,slavernijsysteem,0.8334,17
Historical slavery,slaaf-gemaakte,0.8286,13
Historical slavery,dwangarbeiders,0.827,6
Historical slavery,slavernijdebat,0.8225,6
Historical slavery,slavernijgeschiedenis,0.8136,33
Historical slavery,slavernijperiode,0.8135,5
Historical slavery,planters,0.8038,40
Historical slavery,planten,0.8003,8
Historical slavery,plantage-eigenaren,0.7508,23
Historical slavery,slavenarbeid,0.7495,18
Historical slavery,plantage-economie,0.726,10
Historical slavery,planter,0.725,6
Historical slavery,teelt,0.7226,7
Historical slavery,plantagekolonie,0.7197,10
Historical slavery,slaafgemaakt,0.717,13
Historical slavery,arbeid,0.7162,95
Historical slavery,plantage-eigenaar,0.7061,10
Historical slavery,slaafgemaakte,0.704,130
Historical slavery,eigendomsslavernij,0.7025,5
Historical slavery,slaaf-,0.6999,12
Historical slavery,slavenplantages,0.6845,5
Historical slavery,plantagekoloniën,0.6833,7
Historical slavery,slaaf-gemaakten,0.6744,38
Historical slavery,plantageslavernij,0.672,5
Historical slavery,oogst,0.6627,5
Historical slavery,landbouw,0.6593,22
Historical slavery,slavenverleden,0.6512,5
Historical slavery,dwang,0.65,29
Historical slavery,wijntuin,0.6386,8
Historical slavery,arbeidsdwang,0.633,5
Historical slavery,slaafmakers,0.6325,6
Historical slavery,koffieplantage,0.6308,11
Historical slavery,slavenhandel,0.6279,256
Historical slavery,slaafgemaak,0.6276,25
Historical slavery,wortels,0.6214,9
Historical slavery,gewassen,0.6198,16
Historical slavery,beschaving,0.6183,20
Historical slavery,slavernijmuseum,0.6163,19
Historical slavery,landbouwende,0.6157,6
Historical slavery,slaaf,0.6106,219
Historical slavery,aanleg,0.6096,10
Historical slavery,slaven,0.6074,206
Historical slavery,slavengeld,0.605,6
Historical slavery,slavenopstand,0.6043,24
Historical slavery,suikerplantages,0.6036,11
Historical slavery,landgoed,0.5991,13
Historical slavery,regeringen,0.5958,10
Historical slavery,slaafge,0.5844,21
Historical slavery,overheersing,0.5824,15
Historical slavery,verzet,0.5777,96
Modern racism& inequality,racisme,1,317
Modern racism& inequality,discriminatie,1,141
Modern racism& inequality,ongelijkheid,1,42
Modern racism& inequality,segregatie,1,13
Modern racism& inequality,discrimination,0.9832,14
Modern racism& inequality,discrimineren,0.9333,9
Modern racism& inequality,racistische,0.9234,52
Modern racism& inequality,racistisch,0.921,28
Modern racism& inequality,discriminerend,0.8909,10
Modern racism& inequality,discriminerende,0.87,6
Modern racism& inequality,anti-racisme,0.8694,7
Modern racism& inequality,gediscrimineerd,0.8524,7
Modern racism& inequality,non-discriminatie,0.8404,13
Modern racism& inequality,antiracisme,0.833,9
Modern racism& inequality,raciale,0.8328,23
Modern racism& inequality,racism,0.8113,21
Modern racism& inequality,verblijf,0.7874,6
Modern racism& inequality,woningen,0.784,8
Modern racism& inequality,raciaal,0.7771,7
Modern racism& inequality,ongelijkheden,0.7718,7
Modern racism& inequality,wonen,0.7584,43
Modern racism& inequality,ongelijke,0.7471,27
Modern racism& inequality,verblijven,0.7452,5
Modern racism& inequality,arbeids,0.731,6
Modern racism& inequality,discriminatietoets,0.7127,37
Modern racism& inequality,racist,0.7118,8
Modern racism& inequality,antidiscriminatievoorzieningen,0.7094,7
Modern racism& inequality,buitenhuizen,0.7088,7
Modern racism& inequality,agressie,0.7087,10
Modern racism& inequality,huizen,0.7026,21
Modern racism& inequality,huishouden,0.6903,15
Modern racism& inequality,etnisch,0.6835,27
