topic,term,cosine,df,keep
Historical Slavery,slavernij,1.0,690,True
Historical Slavery,slavenhandel,1.0,256,True
Historical Slavery,slavenopstand,1.0,24,True
Historical Slavery,dwangarbeid,1.0,34,True
Historical Slavery,plantage-economie,1.0,10,True
Historical Slavery,trans-atlantisch,1.0,10,True
Historical Slavery,ketenen,1.0,15,True
Historical Slavery,zweep,1.0,6,True
Historical Slavery,marronage,1.0,5,True
Historical Slavery,slavernij-,0.9593,15,True
Historical Slavery,slavernijgerelateerde,0.9017,6,True
Historical Slavery,trans-atlantische,0.8985,86,True
Historical Slavery,slavenhandelaren,0.8924,15,True
Historical Slavery,slavenhandelaars,0.8459,5,True
Historical Slavery,slavernijverleden,0.8413,250,True
Historical Slavery,slavernijsysteem,0.8334,17,True
Historical Slavery,slavenhandelaar,0.8306,11,True
Historical Slavery,slaaf-gemaakte,0.8286,13,True
Historical Slavery,dwangarbeiders,0.827,6,True
Historical Slavery,slavernijdebat,0.8225,6,True
Historical Slavery,verkocht,0.8194,52,True
Historical Slavery,slavernijgeschiedenis,0.8136,33,True
Historical Slavery,slavernijperiode,0.8135,5,True
Historical Slavery,plantagesector,0.8064,7,True
Historical Slavery,verkoop,0.8103,28,True
Historical Slavery,atlantisch,0.7669,25,True
Historical Slavery,slavenarbeid,0.7495,18,True
Historical Slavery,plantages,0.7358,139,True
Historical Slavery,plantage,0.726,97,True
Historical Slavery,slaaf-gemaakten,0.7208,38,True
Historical Slavery,planters,0.7135,40,True
Historical Slavery,slaafgemaakte,0.704,130,True
Historical Slavery,plantagehouders,0.6977,14,True
Historical Slavery,plantage-eigenaren,0.6965,23,True
Historical Slavery,eigendomsslavernij,0.7025,5,True
Historical Slavery,plantageslavernij,0.672,5,True
Historical Slavery,slaafmakers,0.6329,6,True
Historical Slavery,slavernijmuseum,0.6163,19,True
Historical Slavery,slaaf,0.6106,219,True
Historical Slavery,slaven,0.6074,206,True
Historical Slavery,slavengeld,0.6052,6,True
Historical Slavery,suikerplantages,0.6036,11,True
Historical Slavery,verzet,0.5777,96,True
Historical Slavery,slavenhoudende,0.5699,6,True
