topic,term,cosine,df,keep
Historical slavery,slavernij,1.0,690,True
Historical slavery,plantage,1.0,97,True
Historical slavery,dwangarbeid,1.0,34,True
Historical slavery,zweep,1.0,6,True
Historical slavery,slavernij-,0.9593,15,True
Historical slavery,plantage-,0.9565,13,True
Historical slavery,plantages,0.9373,139,True
Historical slavery,slavernijgerelateerde,0.9017,6,True
Historical slavery,plantation,0.8606,7,True
Historical slavery,plantagesector,0.8531,7,True
Historical slavery,slavernijverleden,0.8413,250,True
Historical slavery,plantagehouder,0.8396,8,True
Historical slavery,plantagehouders,0.8344,14,True
Historical slavery,slavernijsysteem,0.8334,17,True
Historical slavery,slaaf-gemaakte,0.8286,13,True
Historical slavery,dwangarbeiders,0.827,6,True
Historical slavery,slavernijdebat,0.8225,6,True
Historical slavery,slavernijgeschiedenis,0.8136,33,True
Historical slavery,slavernijperiode,0.8135,5,True
Historical slavery,planters,0.8038,40,True
Historical slavery,plantage-eigenaren,0.7508,23,True
Historical slavery,slavenarbeid,0.7495,18,True
Historical slavery,plantage-economie,0.726,10,True
Historical slavery,planter,0.725,6,True
Historical slavery,slaafgemaakt,0.717,13,True
Historical slavery,plantage-eigenaar,0.7061,10,True
Historical slavery,slaafgemaakte,0.704,130,True
Historical slavery,eigendomsslavernij,0.7025,5,True
Historical slavery,slaaf-,0.6999,12,True
Historical slavery,slaaf-gemaakten,0.6744,38,True
Historical slavery,arbeidsdwang,0.633,5,True
Historical slavery,slavenhandel,0.6279,256,True
Historical slavery,slaafgemaak,0.6276,25,True
Historical slavery,slavernijmuseum,0.6163,19,True
Historical slavery,slaaf,0.6106,219,True
Historical slavery,slaven,0.6074,206,True
Historical slavery,slavenopstand,0.6043,24,True
Historical slavery,verzet,0.5777,96,True
Historical slavery,slavenemancipatie,0.5584,8,True
