topic,term,cosine,df
Colonialism,koloniaal,1.0,91
Colonialism,kolonie,1.0,150
Colonialism,gouverneur,1.0,44
Colonialism,exploitatie,1.0,18
Colonialism,cultuurstelsel,1.0,26
Colonialism,handelsmonopolie,1.0,5
Colonialism,west-indische,0.9919,73
Colonialism,koloniale,0.9781,446
Colonialism,westindische,0.9584,11
Colonialism,gouverneur-,0.9558,6
Colonialism,oost-indische,0.9572,27
Colonialism,west-indië,0.943,19
Colonialism,gouverneur-generaal,0.9164,20
Colonialism,wic,0.9135,129
Colonialism,voc,1.0,202
Colonialism,koloniën,0.8776,273
Colonialism,postkoloniale,0.8665,18
Colonialism,kolonien,0.8633,30
Colonialism,kolonisten,0.8612,34
Colonialism,postkoloniaal,0.8558,9
Colonialism,plantage-,0.8537,13
Colonialism,plantage,0.7923,97
Colonialism,plantages,0.7917,139
Colonialism,kaapkolonie,0.8093,15
Colonialism,kolonisatie,0.794,22
Colonialism,oostindie,0.7693,30
Colonialism,slavenkolonie,0.7626,5
Colonialism,westerse,0.7609,19
Colonialism,voc-imperium,0.7619,6
Colonialism,voc-dienaren,0.7582,15
Colonialism,monopolie,0.7605,13
Colonialism,plantagesector,0.7741,7
Colonialism,kolonialisme,0.7395,162
Colonialism,kolonia,0.7501,9
Colonialism,kolonisatoren,0.7183,5
Colonialism,landbouwkolonie,0.7154,10
Colonialism,kolonisator,0.7128,12
Colonialism,voc-schip,0.7046,9
Colonialism,gekoloniseerden,0.7042,7
Colonialism,slavenkoloniën,0.6993,6
Colonialism,voc-schepen,0.6993,6
Colonialism,plantagekolonie,0.6802,9
Colonialism,ketenen,0.6668,15
Colonialism,uitbuiting,0.6653,22
Colonialism,keten,0.6369,12
Colonialism,antikoloniale,0.6385,6
Colonialism,gekoloniseerde,0.6337,30
Colonialism,provinciaal,0.5953,6
Colonialism,provinciale,0.6326,32
Colonialism,dekolonisatie,0.5848,17
Colonialism,plantagekoloniën,0.5566,7
Colonialism,creoolse,0.5567,10
Colonialism,landbouw,0.6323,22
Colonialism,handel,0.7327,10
Colonialism,handels,0.7327,10
Colonialism,gebied,0.6719,80
Colonialism,eiland,0.65,25
Colonialism,bezit,0.68,15
Colonialism,bezittingen,0.67,12
Colonialism,beleid,0.62,35
Colonialism,bestuur,0.69,28
Colonialism,bewind,0.66,18
Colonialism,macht,0.64,42
Colonialism,heerschappij,0.72,8
Colonialism,onderwerping,0.68,6
Colonialism,verovering,0.71,9
Colonialism,bezetting,0.67,11
Colonialism,administratie,0.65,14
Colonialism,ambtenaar,0.63,16
Colonialism,cultuur,0.769,119
Colonialism,beschaving,0.65,20
Colonialism,systeem,0.68,45
Historical Slavery,slavernij,1.0,690
Historical Slavery,slavenhandel,1.0,256
Historical Slavery,slavenopstand,1.0,24
Historical Slavery,dwangarbeid,1.0,34
Historical Slavery,plantage-economie,1.0,10
Historical Slavery,trans-atlantisch,1.0,10
Historical Slavery,ketenen,1.0,15
Historical Slavery,zweep,1.0,6
Historical Slavery,marronage,1.0,5
Historical Slavery,slavernij-,0.9593,15
Historical Slavery,slavernijgerelateerde,0.9017,6
Historical Slavery,trans-atlantische,0.8985,86
Historical Slavery,slavenhandelaren,0.8924,15
Historical Slavery,slavenhandelaars,0.8459,5
Historical Slavery,slavernijverleden,0.8413,250
Historical Slavery,slavernijsysteem,0.8334,17
Historical Slavery,slavenhandelaar,0.8306,11
Historical Slavery,slaaf-gemaakte,0.8286,13
Historical Slavery,dwangarbeiders,0.827,6
Historical Slavery,slavernijdebat,0.8225,6
Historical Slavery,verkocht,0.8194,52
Historical Slavery,slavernijgeschiedenis,0.8136,33
Historical Slavery,slavernijperiode,0.8135,5
Historical Slavery,verkoop,0.8103,28
Historical Slavery,plantagesector,0.8064,7
Historical Slavery,planters,0.8038,40
Historical Slavery,keten,0.7992,12
Historical Slavery,verkopen,0.7816,19
Historical Slavery,koop,0.7802,14
Historical Slavery,kopen,0.7767,26
Historical Slavery,slavenmarkten,0.7727,6
Historical Slavery,atlantisch,0.7669,25
Historical Slavery,vrijkopen,0.762,5
Historical Slavery,plantage-,0.7586,13
Historical Slavery,midden,0.7515,45
Historical Slavery,slavenarbeid,0.7495,18
Historical Slavery,plantages,0.7358,139
Historical Slavery,handels,0.7327,10
Historical Slavery,aankoop,0.7261,15
Historical Slavery,plantage,0.726,97
Historical Slavery,planten,0.7997,8
Historical Slavery,slaaf-gemaakten,0.7208,38
Historical Slavery,plantagehouder,0.8396,8
Historical Slavery,plantagehouders,0.6977,14
Historical Slavery,plantage-eigenaren,0.6965,23
Historical Slavery,plantage-eigenaar,0.7061,10
Historical Slavery,planter,0.725,6
Historical Slavery,slaafgemaakte,0.704,130
Historical Slavery,slaafgemaakt,0.717,13
Historical Slavery,eigendomsslavernij,0.7025,5
Historical Slavery,plantageslavernij,0.672,5
Historical Slavery,slavenplantages,0.6845,5
Historical Slavery,koffieplantage,0.6314,11
Historical Slavery,suikerplantages,0.6036,11
Historical Slavery,dwang,0.6496,29
Historical Slavery,arbeidsdwang,0.633,5
Historical Slavery,arbeid,0.7161,95
Historical Slavery,arbeiders,0.5703,59
Historical Slavery,slaafmakers,0.6329,6
Historical Slavery,slavernijmuseum,0.6163,19
Historical Slavery,slaaf,0.6106,219
Historical Slavery,slaven,0.6074,206
Historical Slavery,slavengeld,0.6052,6
Historical Slavery,verzet,0.5777,96
Historical Slavery,slavenhoudende,0.5699,6
Historical Slavery,slavenkoloniën,0.5751,6
Historical Slavery,afschaffing,0.5738,219
Historical Slavery,slavenemancipatie,0.5584,8
Historical Slavery,vrijheid,0.68,45
Historical Slavery,bevrijding,0.66,22
Historical Slavery,emancipatie,0.71,35
Modern Racism & Inequality,stereotypering,1.0,6
Modern Racism & Inequality,uitsluiting,1.0,48
Modern Racism & Inequality,segregatie,1.0,13
Modern Racism & Inequality,anti-racisme,0.9206,7
Modern Racism & Inequality,discrimineren,0.9333,9
Modern Racism & Inequality,stereotyperingen,0.881,7
Modern Racism & Inequality,discriminerend,0.8909,10
Modern Racism & Inequality,discriminerende,0.87,6
Modern Racism & Inequality,antiracisme,0.8655,9
Modern Racism & Inequality,racisme,0.8567,317
Modern Racism & Inequality,gediscrimineerd,0.8524,7
Modern Racism & Inequality,racistische,0.8418,52
Modern Racism & Inequality,vooroordelen,0.8325,36
Modern Racism & Inequality,raciale,0.8328,23
Modern Racism & Inequality,racistisch,0.8154,28
Modern Racism & Inequality,insluiting,0.8129,8
Modern Racism & Inequality,raciaal,0.7771,7
Modern Racism & Inequality,ongelijkheden,0.7718,7
Modern Racism & Inequality,uitsluiten,0.7657,12
Modern Racism & Inequality,anti-zwart,0.7632,21
Modern Racism & Inequality,ongelijke,0.7471,27
Modern Racism & Inequality,postkoloniale,0.7402,18
Modern Racism & Inequality,stereotypen,0.7362,8
Modern Racism & Inequality,discriminatietoets,0.7127,37
Modern Racism & Inequality,racist,0.7118,8
Modern Racism & Inequality,antidiscriminatievoorzieningen,0.7094,7
Modern Racism & Inequality,agressie,0.7087,10
Modern Racism & Inequality,postkoloniaal,0.7075,9
Modern Racism & Inequality,uitbuiting,0.707,22
Modern Racism & Inequality,achterstand,0.701,8
Modern Racism & Inequality,stereotype,0.6995,6
Modern Racism & Inequality,etnisch,0.69,27
Modern Racism & Inequality,raciaal,0.6886,7
Modern Racism & Inequality,afkeer,0.6793,11
Modern Racism & Inequality,arbeidsmarkt,0.6737,28
Modern Racism & Inequality,racism,0.6735,21
Modern Racism & Inequality,generaties,0.6639,35
Modern Racism & Inequality,discriminatie,0.6601,141
Modern Racism & Inequality,gelijkheid,0.6543,25
Modern Racism & Inequality,vooringenomenheid,0.6384,7
Modern Racism & Inequality,ongelijkheid,0.6373,42
Modern Racism & Inequality,etnische,0.6133,64
Modern Racism & Inequality,menselijkheid,0.6108,43
Modern Racism & Inequality,discriminatietoets,0.604,37
Modern Racism & Inequality,non-discriminatie,0.5936,13
Modern Racism & Inequality,fascisme,0.5922,5
Modern Racism & Inequality,kolonisatie,0.586,22
Modern Racism & Inequality,armoede,0.5558,19
Modern Racism & Inequality,achterstelling,0.72,12
Modern Racism & Inequality,benadeling,0.68,8
Modern Racism & Inequality,marginalisering,0.71,9
Modern Racism & Inequality,minderheid,0.66,28
Modern Racism & Inequality,minderheden,0.64,22
Modern Racism & Inequality,structureel,0.67,18
Modern Racism & Inequality,institutioneel,0.69,15
Modern Racism & Inequality,systemisch,0.68,7
Modern Racism & Inequality,maatschappij,0.62,38
Modern Racism & Inequality,samenleving,0.61,42
Modern Racism & Inequality,gemeenschap,0.63,25
Modern Racism & Inequality,inkomen,0.66,19
Modern Racism & Inequality,welvaart,0.64,14
Modern Racism & Inequality,rechtvaardigheid,0.67,16
Modern Racism & Inequality,onrechtvaardigheid,0.69,7
Modern Racism & Inequality,beleid,0.58,35
Modern Racism & Inequality,maatregelen,0.61,28
Modern Racism & Inequality,voorzieningen,0.62,18
